name,more_info,description,competencies
AARO Leaders,http://www.smu.edu/StudentAffairs/NewStudent/StudentStaff,AARO Leaders are selected each Sptring semester to help implement the two-step15 Orientation Leaders are selected each fall to help implement the two-step orientation process-AARO and Mustang Corral.  Orientation Leaders facilitate small groups during AARO and help prepare new Mustangs for life at SMU.  The Orientation Leaders also plan and execute Mustang Corral.  Orientation Leaders complete the Orientation Leadership Institute and live and work on campus from the beginning of June through the start of classes. ,"Self-Aware, Intentional Learner, Communicates Effectively, Develops Relationships, Engaging Leadership, Strategic Perspective"
Alternative Breaks/Leadership Team,http://www.smu.edu/Orgs/AB,"Alternative Breaks is a student organzation offering direct service opportunities ever academic break, including Fall, Winter, and Spring. Alternative Breaks takes groups of students, student leaders, and faculty/staff to communities in need across the country and world to perform life-changing service with amazin non-profit organizations. After a student has experienced a trip as a participant, he or she may apply to be part of Alternative Spring Breaks Leadership Team in the capacity of Executive Board member or Site Leader. Executive Board members are responsible for guiding the program forward in the terms of outreach, fundraising, recuitment, finances, and more. Site Leaders have the opportunity to plan and execute a trip, from start to finish. Site Leaders communicate and coordinate with the non-profit agency, host pre-trip meetings for participants, create an itinerary, lead the group for the entirety of the trip, manage the trip budget, and more.","Develops Relationships, Engaging Leadership, Directive Leadership, Champions Effective Processes, Problem Solving, Strategic Perspective, Innovative Spirit"
Alternative Breaks,http://www.smu.edu/Orgs/AB,"Alternative Breaks is a student organization offering direct community service opportunities during every academic break, including Fall, Winter, Spring, and Summer. Alternative Breaks takes groups of students, student leaders, and faculty/staff to communities across the country and the world to perform vital service alongside reputable non-profit organizations. Participants have the opportunity to engage in quality service, gain education about important social issues, and reflect on how we can create positive social change. Please use this website as a resource to learn about our trips, apply to join us on one of our next trips, or meet some of our student leaders. Join our movement of active citizenship as we strive to create sustainable change and fight social injustice in all communities.","Develops Relationships, Diversity and Difference, Engaging Leadership, Strategic Perspective"
Lyle Ambassadors,https://www.smu.edu/Lyle/Undergraduate/ProspectiveStudents/LyleStudentProfiles,"Lyle Ambassadors is the premier organization of the Lyle School of Engineering. While our primary function is to help recruit the incoming freshman engineering class, we are the face of the Lyle School of Engineering throughout the engineering, SMU, and Dallas communities.","Intentional Learner, Communicates Effectively, Develops Relationships"
American Society of Civil Engineers (ASCE),https://smu.collegiatelink.net/organization/americansocietyofcivilengineers,"ASCE provides support for programs that enhance the quality of life, promote the Civil Engineering profession, advance technical practices, and prepare civil engineers for tomorrow. ASCE seeks to help build a stronger profession to meet tomorrow's national and global challenges.","Intentional Learner, Develops Relationships, Strategic Perspective"
American Society of Mechanical Engineers (ASME),http://lyle.smu.edu/orgs/ASME/,"Founded in 1880 as the American Society of Mechanical Engineers, today's ASME is a 120,000-member professional organization focused on technical, educational and research issues of the engineering and technology community.¾ASME offers numerous opportunities for students to interact with professionals, attend conferences and participate in student design competitions.","Intentional Learner, Develops Relationships, Strategic Perspective"
Big Ideas Symposium,http://www.smu.edu/provost/bigideas,Big iDeas at SMU is an undergraduate research program that will engage and support SMU students who are interested in addressing key problems faced by the Dallas/Ft. Worth Metroplex area.,"Intentiona Learner, Communicates Effectively, Develops Relationships, Engaging Leadership, Problem Solving, Strategic Perspective, Innovative Spirit"
Career Development Ambassadors,http://www.smu.edu/StudentAffairs/Career/About/CDA,"A student based and operated group working in conjunction with the Hegi Family Career Development Center in order to promote and raise awareness to the Career Center, its necessity, and its multiple uses for all SMU students.","Communicates Effectively, Develops Relationships"
Career Counseling and Advising,http://www.smu.edu/StudentAffairs/Career/CareerTools,"The career counseling team of the Hegi Family Career Development Center can assist students and alumni in clarifying their career interests and goals by: guiding them through the exploration process of interest, skills, and personal values to lead to informed decisions about majors and careers; educating them about the word of work and career opportunities; and empowering them to develop competent decision making skills for life long career management.","Self Aware, Strategic Perspective"
Civil Rights Pilgramage - Student Leader,http://www.smu.edu/StudentAffairs/Chaplain/CRP,"The pilgramage consists of students from Political Science 4334 (class participation by approval) and other students, staff and community members. It is guided by Pilgramage Student Leaders and Political Science Professor Dennis Simon.","Diversity and Difference, Directive Leadership, Champions Effective Processes, Problem Solving, Strategic Perspective"
